"EstimatedX","EstimatedY","EncoderHeading","Gyro","Timestamp"
"0.0","0.0","0.0","0.0","1689.121753"
"0.0","0.0","0.0","0.0","1703.10163"
"0.0","0.0","0.0","0.0","1712.336381"
"0.0","0.0","0.0","0.0","1724.491299"
"0.0","0.0","0.0","0.0","1734.118049"
"0.0","0.0","0.0","0.0","1744.256092"
"0.0","0.0","0.0","0.0","1752.849176"
"0.0","0.0","0.0","0.0","1763.362011"
"0.0","0.0","0.0","0.0","1773.60447"
"0.0","0.0","0.0","0.0","1785.89968"
"0.0","0.0","0.0","0.0","1795.237097"
"0.0","0.0","0.0","0.0","1804.594932"
"0.0","0.0","0.0","0.0","1813.563391"
"0.0","0.0","0.0","0.0","1822.791725"
"0.0","0.0","0.0","0.0","1832.183393"
"0.0","0.0","0.0","0.0","1844.557644"
"0.0","0.0","0.0","0.0","1856.050478"
"0.0","0.0","0.0","0.0","1865.677521"
"0.0","0.0","0.0","0.0","1878.034272"
"0.0","0.0","0.0","0.0","1887.014982"
"0.0","0.0","0.0","0.0","1897.797899"
"0.0","0.0","0.0","0.0","1907.291359"
"0.0","0.0","0.0","0.0","1918.467735"
"0.0","0.0","0.0","0.0","1928.008444"
"0.0","0.0","0.0","0.0","1942.209404"
"0.0","0.0","0.0","0.0","1954.541947"
"0.0","0.0","0.0","0.0","1962.858239"
"0.0","0.0","0.0","0.0","1972.08074"
"0.0","0.0","0.0","0.0","1981.236449"
"0.0","0.0","0.0","0.0","1990.205492"
"0.0","0.0","0.0","0.0","1998.527034"
"0.0","0.0","0.0","0.0","2007.557327"
"0.0","0.0","0.0","0.0","2015.199286"
"0.0","0.0","0.0","0.0","2023.013037"
"0.0","0.0","0.0","0.0","2031.725996"
"0.0","0.0","0.0","0.0","2039.50358"
"0.0","0.0","0.0","0.0","2048.750873"
"0.0","0.0","0.0","0.0","2056.78104"
"0.0","0.0","0.0","0.0","2064.054333"
"0.0","0.0","0.0","0.0","2074.236709"
"0.0","0.0","0.0","0.0","2081.547918"
"0.0","0.0","0.0","0.0","2089.355544"
"0.0","0.0","0.0","0.0","2096.638169"
"0.0","0.0","0.0","0.0","2104.318628"
"0.0","0.0","0.0","0.0","2112.796213"
"0.0","0.0","0.0","0.0","2120.620172"
"0.0","0.0","0.0","0.0","2129.147048"
"0.0","0.0","0.0","0.0","2136.303673"
"0.0","0.0","0.0","0.0","2147.989883"
"0.0","0.0","0.0","0.0","2184.904386"
"0.0","0.0","0.0","0.0","2194.070304"
"0.0","0.0","0.0","0.0","2202.80893"
"0.0","0.0","0.0","0.0","2211.242472"
"0.0","0.0","0.0","0.0","2218.585765"
"0.0","0.0","0.0","0.0","2226.239099"
"0.0","0.0","0.0","0.0","2233.9041"
"0.0","0.0","0.0","0.0","2243.327851"
"0.0","0.0","0.0","-0.009999999776482582","2251.524851"
"0.0","0.0","0.0","-0.009999999776482582","2258.453685"
"0.0","0.0","0.0","-0.009999999776482582","2266.07027"
"0.0","0.0","0.0","-0.009999999776482582","2273.182854"
"0.0","0.0","0.0","-0.009999999776482582","2280.756271"
"0.0","0.0","0.0","-0.009999999776482582","2288.512564"
"0.0","0.0","0.0","-0.009999999776482582","2295.434398"
"0.0","0.0","0.0","0.0","2304.05694"
"0.0","0.0","0.0","0.0","2311.164857"
"0.0","0.0","0.0","0.0","2319.178108"
"0.0","0.0","0.0","0.0","2327.243567"
"0.0","0.0","0.0","0.0","2334.384735"
"0.0","0.0","0.0","0.0","2342.997069"
"0.0","0.0","0.0","0.0","2350.06532"
"0.0","0.0","0.0","0.0","2359.515321"
"0.0","0.0","0.0","0.0","2367.38653"
"0.0","0.0","0.0","0.0","2375.614447"
"0.0","0.0","0.0","0.0","2383.499365"
"0.0","0.0","0.0","0.0","2391.098157"
"0.0","0.0","0.0","-0.009999999776482582","2399.457033"
"0.0","0.0","0.0","-0.009999999776482582","2406.673742"
"0.0","0.0","0.0","-0.009999999776482582","2416.327618"
"0.0","0.0","0.0","-0.009999999776482582","2424.920411"
"0.0","0.0","0.0","-0.009999999776482582","2432.84587"
"0.0","0.0","0.0","0.0","2440.37787"
"0.0","0.0","0.0","0.0","2447.619663"
"0.0","0.0","0.0","0.0","2456.553414"
"0.0","0.0","0.0","0.0","2462.648081"
"0.0","0.0","0.0","0.0","2468.60654"
"0.0","0.0","0.0","0.0","2475.716499"
"0.0","0.0","0.0","0.0","2482.749166"
"0.0","0.0","0.0","0.0","2489.457792"
"0.0","0.0","0.0","0.0","2496.346668"
"0.0","0.0","0.0","0.0","2502.168335"
"0.0","0.0","0.0","0.0","2510.765503"
"0.0","0.0","0.0","0.0","2518.048128"
"0.0","0.0","0.0","0.0","2524.801087"
"0.0","0.0","0.0","0.0","2532.304213"
"0.0","0.0","0.0","0.0","2539.810547"
"0.0","0.0","0.0","0.0","2546.713131"
"0.0","0.0","0.0","0.0","2554.34109"
"0.0","0.0","0.0","0.0","2561.121174"
"0.0","0.0","0.0","0.0","2570.1678"
"0.0","0.0","0.0","0.0","2578.349051"
"0.0","0.0","0.0","0.0","2587.232927"
"0.0","0.0","0.0","0.0","2595.018678"
